number of characters,length of case,case,expected value
11,3,[3. 3. 5.],1342.0
11,3,[3. 3. 6.],1342.0
11,3,[3. 3. 7.],1342.0
11,3,[3. 3. 8.],1342.0
11,3,[3. 3. 9.],1342.0
11,3,[ 3.  3. 10.],1342.0
11,3,[3. 4. 0.],1331.0
11,3,[3. 4. 1.],1331.0
11,3,[3. 4. 2.],1331.0
11,3,[3. 4. 3.],1342.0
11,3,[3. 4. 4.],1331.0
11,3,[3. 4. 5.],1331.0
11,3,[3. 4. 6.],1331.0
11,3,[3. 4. 7.],1331.0
11,3,[3. 4. 8.],1331.0
11,3,[3. 4. 9.],1331.0
11,3,[ 3.  4. 10.],1331.0
11,3,[3. 5. 0.],1331.0
11,3,[3. 5. 1.],1331.0
11,3,[3. 5. 2.],1331.0
11,3,[3. 5. 3.],1342.0
11,3,[3. 5. 4.],1331.0
11,3,[3. 5. 5.],1331.0
11,3,[3. 5. 6.],1331.0
11,3,[3. 5. 7.],1331.0
11,3,[3. 5. 8.],1331.0
11,3,[3. 5. 9.],1331.0
11,3,[ 3.  5. 10.],1331.0
11,3,[3. 6. 0.],1331.0
11,3,[3. 6. 1.],1331.0
11,3,[3. 6. 2.],1331.0
11,3,[3. 6. 3.],1342.0
11,3,[3. 6. 4.],1331.0
11,3,[3. 6. 5.],1331.0
11,3,[3. 6. 6.],1331.0
11,3,[3. 6. 7.],1331.0
11,3,[3. 6. 8.],1331.0
11,3,[3. 6. 9.],1331.0
11,3,[ 3.  6. 10.],1331.0
11,3,[3. 7. 0.],1331.0
11,3,[3. 7. 1.],1331.0
11,3,[3. 7. 2.],1331.0
11,3,[3. 7. 3.],1342.0
11,3,[3. 7. 4.],1331.0
11,3,[3. 7. 5.],1331.0
11,3,[3. 7. 6.],1331.0
11,3,[3. 7. 7.],1331.0
11,3,[3. 7. 8.],1331.0
11,3,[3. 7. 9.],1331.0
11,3,[ 3.  7. 10.],1331.0
11,3,[3. 8. 0.],1331.0
11,3,[3. 8. 1.],1331.0
11,3,[3. 8. 2.],1331.0
11,3,[3. 8. 3.],1342.0
11,3,[3. 8. 4.],1331.0
11,3,[3. 8. 5.],1331.0
11,3,[3. 8. 6.],1331.0
11,3,[3. 8. 7.],1331.0
11,3,[3. 8. 8.],1331.0
11,3,[3. 8. 9.],1331.0
11,3,[ 3.  8. 10.],1331.0
11,3,[3. 9. 0.],1331.0
11,3,[3. 9. 1.],1331.0
11,3,[3. 9. 2.],1331.0
11,3,[3. 9. 3.],1342.0
11,3,[3. 9. 4.],1331.0
11,3,[3. 9. 5.],1331.0
11,3,[3. 9. 6.],1331.0
11,3,[3. 9. 7.],1331.0
11,3,[3. 9. 8.],1331.0
11,3,[3. 9. 9.],1331.0
11,3,[ 3.  9. 10.],1331.0
11,3,[ 3. 10.  0.],1331.0
11,3,[ 3. 10.  1.],1331.0
11,3,[ 3. 10.  2.],1331.0
